वेद प्रकाश शर्मा,https://hi.wikipedia.org/wiki/वेद_प्रकाश_शर्मा,English Version,German Version,French Version,Italian Version,Spanish Version,Swedish Version,Portuguese Version,Urdu Version,Other Lang count
रामप्रसाद चौधरी,https://hi.wikipedia.org/wiki/रामप्रसाद_चौधरी,No,No,No,No,No,No,No,No,0
नाओको यामाजाकी,https://hi.wikipedia.org/wiki/नाओको_यामाजाकी,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,26
नील आर्मस्ट्रांग,https://hi.wikipedia.org/wiki/नील_आर्मस्ट्रांग,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,147
तेजपाल सिंह,https://hi.wikipedia.org/wiki/तेजपाल_सिंह,No,No,No,No,No,No,No,No,0
दीपा मराठे,https://hi.wikipedia.org/wiki/दीपा_मराठे,Yes,No,No,No,No,No,No,No,3
पीटर कपिज़ा,https://hi.wikipedia.org/wiki/पीटर_कपिज़ा,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,66
चौधरी मोहन जटुया,https://hi.wikipedia.org/wiki/चौधरी_मोहन_जटुया,Yes,No,No,No,No,No,No,No,1
रॉबर्ट लेफ्कोविट्ज़,https://hi.wikipedia.org/wiki/रॉबर्ट_लेफ्कोविट्ज़,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,50
जैक वेल्‍श,https://hi.wikipedia.org/wiki/जैक_वेल्‍श,Yes,Yes,Yes,No,Yes,Yes,Yes,No,24
करुणा बनर्जी,https://hi.wikipedia.org/wiki/करुणा_बनर्जी,Yes,No,No,No,No,No,No,No,1
जाविद हसन बैग,https://hi.wikipedia.org/wiki/जाविद_हसन_बैग,No,No,No,No,No,No,No,No,0
हरी शंकर शर्मा,https://hi.wikipedia.org/wiki/हरी_शंकर_शर्मा,Yes,No,No,No,No,No,No,No,1
रेखा पुणेकर,https://hi.wikipedia.org/wiki/रेखा_पुणेकर,Yes,No,No,No,No,No,No,No,5
विजय कुमार पासवान,https://hi.wikipedia.org/wiki/विजय_कुमार_पासवान,No,No,No,No,No,No,No,No,0
आमिर गुलिस्तान जनजूआ,https://hi.wikipedia.org/wiki/आमिर_गुलिस्तान_जनजूआ,No,No,No,No,No,No,No,No,0
जीतू राय,https://hi.wikipedia.org/wiki/जीतू_राय,Yes,No,No,No,No,No,No,No,11
शीला दीक्षित,https://hi.wikipedia.org/wiki/शीला_दीक्षित,Yes,Yes,No,No,No,Yes,No,No,15
शदमन इस्लाम,https://hi.wikipedia.org/wiki/शदमन_इस्लाम,Yes,No,No,No,No,No,No,No,2
सौमित्र खान,https://hi.wikipedia.org/wiki/सौमित्र_खान,Yes,No,No,No,No,No,No,No,1
